123456789012,80,70,60,50,40,30,20,10
123456789013,81,71,61,51,41,31,21,11
123456789014,82,72,62,52,42,32,22,12
123456789015,83,73,63,53,43,33,23,13
123456789016,84,74,64,54,44,34,24,14
123456789017,85,75,65,55,45,35,25,15
123456789018,86,76,66,56,46,36,26,16
123456789019,87,77,67,57,47,37,27,17
123456789020,88,78,68,58,48,38,28,18
123456789021,89,79,69,59,49,39,29,19
123456789022,90,80,70,60,50,40,30,20
123456789023,91,81,71,61,51,41,31,21
123456789024,92,82,72,62,52,42,32,22
123456789025,93,83,73,63,53,43,33,23
123456789026,94,84,74,64,54,44,34,24
123456789027,95,85,75,65,55,45,35,25
123456789028,96,86,76,66,56,46,36,26
123456789029,97,87,77,67,57,47,37,27
123456789030,98,88,78,68,58,48,38,28
123456789031,99,89,79,69,59,49,39,29
